rank,country,iso_code,average_life_expectancy_at_birth_2025_in_years
1,Monaco,MCO,87
2,San Marino,SMR,86
3,Hong Kong,HKG,86
4,Japan,JPN,85
5,South Korea,KOR,85
6,Saint Barthélemy,BLM,85
7,Andorra,AND,84
8,French Polynesia,PYF,84
9,Switzerland,CHE,84
10,Australia,AUS,84
11,Italy,ITA,84
12,Singapore,SGP,84
13,Spain,ESP,84
14,Liechtenstein,LIE,84
15,Réunion,REU,84
16,Gibraltar,GIB,84
17,Malta,MLT,84
18,Norway,NOR,84
19,France,FRA,84
20,Sweden,SWE,84
21,Guernsey,GGY,84
22,Macao,MAC,83
23,Holy See,VAT,83
24,UAE,ARE,83
25,Iceland,ISL,83
26,Martinique,MTQ,83
27,Canada,CAN,83
28,Israel,ISR,83
29,Ireland,IRL,83
30,Portugal,PRT,83
31,Qatar,QAT,83
32,Bermuda,BMU,83
33,Luxembourg,LUX,82
34,Netherlands,NLD,82
35,Belgium,BEL,82
36,Guadeloupe,GLP,82
37,New Zealand,NZL,82
38,Austria,AUT,82
39,Denmark,DNK,82
40,Finland,FIN,82
41,Greece,GRC,82
42,Puerto Rico,PRI,82
43,Cyprus,CYP,82
44,Slovenia,SVN,82
45,Germany,DEU,82
46,UK,GBR,82
47,Bahrain,BHR,82
48,Chile,CHL,82
49,Maldives,MDV,82
50,Isle of Man,IMN,81
51,Costa Rica,CRI,81
52,Taiwan,TWN,81
53,Kuwait,KWT,81
54,Cayman Islands,CYM,81
55,Saint Martin,MAF,81
56,Faroe Islands,FRO,81
57,Oman,OMN,80
58,Czechia,CZE,80
59,Jersey,JEY,80
60,Panama,PAN,80
61,Albania,ALB,80
62,Anguilla,AIA,80
63,U.S.,USA,80
64,Falkland Islands,FLK,80
65,Estonia,EST,79
66,Saudi Arabia,SAU,79
67,Northern Mariana Islands,MNP,79
68,New Caledonia,NCL,79
69,Poland,POL,79
70,Croatia,HRV,79
71,Wallis & Futuna Islands,WLF,79
72,Slovakia,SVK,79
73,Uruguay,URY,78
74,Cuba,CUB,78
75,Kosovo,XKX,78
76,China,CHN,78
77,Turks & Caicos Islands,TCA,78
78,Bosnia & Herzegovina,BIH,78
79,Jordan,JOR,78
80,Peru,PER,78
81,Colombia,COL,78
82,Lebanon,LBN,78
83,Iran,IRN,78
84,Antigua and Barbuda,ATG,78
85,Sri Lanka,LKA,78
86,Türkiye,TUR,78
87,Bonaire,BES,78
88,Ecuador,ECU,78
89,Argentina,ARG,78
90,North Macedonia,MKD,78
91,Guam,GUM,78
92,British Virgin Islands,VGB,78
93,Polynesia (no emoji available),POL,78
94,Montenegro,MNE,77
95,French Guiana,GUF,77
96,Hungary,HUN,77
97,Tokelau,TKL,77
98,Curaçao,CUW,77
99,Serbia,SRB,77
100,Saint Helena,SHN,77
101,Saint Pierre & Miquelon,SPM,77
102,Malaysia,MYS,77
103,Tunisia,TUN,77
104,Thailand,THA,77
105,Sint Maarten,SXM,77
106,Algeria,DZA,77
107,Aruba,ABW,77
108,Barbados,BRB,76
109,Montserrat,MSR,76
110,Latvia,LVA,76
111,Mayotte,MYT,76
112,Cabo Verde,CPV,76
113,Lithuania,LTU,76
114,Romania,ROU,76
115,Brazil,BRA,76
116,Armenia,ARM,76
